,time,ax,ay,az,wx,wy,wz
36426,14:09:56.008000,-5.4705157,-2.4874685000000003,7.634780900000001,-0.08606710000000001,-0.1170722,0.4049115
36427,14:09:56.017000,-5.3364458,-2.5305624,7.452829400000001,-0.1373797,-0.0596509,0.2045479
36428,14:09:56.027000,-5.4202394,-2.7412429,7.5749283,-0.1373797,-0.0596509,0.2045479
36429,14:09:56.036000,-5.362781,-2.8968594,7.565352000000001,-0.11172339999999999,0.027091900000000006,0.1324659
36430,14:09:56.048000,-5.312504799999999,-3.0740228,7.4887409,-0.0298675,0.1736994,0.011514700000000001
36431,14:09:56.055000,-5.384327900000001,-3.1242987999999996,7.4384651,-0.0298675,0.1736994,0.011514700000000001
36432,14:09:56.066000,-5.422633599999999,-2.9758646,7.17272,0.0067843999999999995,0.2457815,-0.0202503
36433,14:09:56.076000,-5.539944599999999,-2.7747604999999997,7.3762178,0.058097,0.2873203,-0.04101969999999999
36434,14:09:56.085000,-5.6045852,-2.5521092,7.3163662,0.10452269999999998,0.3141983,-0.058123900000000006
36435,14:09:56.098000,-5.6955609,-2.4683158,7.1822957999999995,0.09963580000000001,0.3117548,-0.0617891
36436,14:09:56.104000,-5.5662794,-2.4395863999999996,7.3091836,0.06298390000000001,0.29342890000000005,-0.0825585
36437,14:09:56.115000,-5.4489684,-2.640691,7.402553599999999,0.0190017,0.2726595,-0.1155452
36438,14:09:56.123000,-5.4417862999999995,-2.7795486,7.3403072,0.0190017,0.2726595,-0.1155452
36439,14:09:56.133000,-5.5207915000000005,-2.8154602000000004,7.2421484,-0.013985,0.288542,-0.1399798
36440,14:09:56.143000,-5.6907725,-2.6071734,7.2972131,-0.000546,0.31542,-0.1693013
36441,14:09:56.152000,-5.6907725,-2.7149078999999996,7.187084700000001,0.0336624,0.3325242,-0.1949576
36442,14:09:56.167000,-5.6045852,-2.8513715,6.717841099999999,-0.0176502,0.31664169999999997,-0.2426051
36443,14:09:56.172000,-5.757807700000001,-3.0883875,7.3929772,-0.0176502,0.31664169999999997,-0.2426051
36444,14:09:56.182000,-5.7099257,-2.9208004,6.586165400000001,-0.0885105,0.2286772,-0.1925142
36445,14:09:56.192000,-5.7003489,-3.0333229999999998,7.2636956999999995,-0.0885105,0.2286772,-0.1925142
36446,14:09:56.201000,-5.7075315,-2.8226426,6.8782454,-0.0885105,0.21523820000000002,-0.1607492
36447,14:09:56.213000,-5.2789874,-3.5217192,7.5988693,-0.0494152,0.17736459999999998,-0.14975360000000001
36448,14:09:56.221000,-5.7602015,-2.8585539,6.983585799999999,-0.032311,0.20912960000000003,-0.1131017
36449,14:09:56.234000,-5.855965599999999,-2.7556078,6.9692216,-0.006654600000000001,0.21279479999999998,-0.09233229999999999
36450,14:09:56.249000,-5.8966651,-3.0021996,6.875851600000001,-0.0848453,0.19080360000000002,-0.11676689999999999
36451,14:09:56.258000,-5.9086356,-3.0692346,7.0075269,-0.0848453,0.19080360000000002,-0.11676689999999999
36452,14:09:56.267000,-5.8272367,-3.1195107,6.868669500000001,-0.1276059,0.1749211,-0.1094366
36453,14:09:56.278000,-5.9038477,-3.3301911,6.9165516,-0.1789185,0.1468213,-0.0972193
36454,14:09:56.289000,-5.9301825,-3.4858077000000005,6.7082644,-0.21923560000000003,0.12238679999999999,-0.07034119999999999
36455,14:09:56.298000,-5.8823004,-3.4714432,6.7441759,-0.1850271,0.06252200000000001,0.0579404
36456,14:09:56.308000,-5.8152661,-3.2799153,6.7992406,-0.1850271,0.06252200000000001,0.0579404
36457,14:09:56.318000,-5.8463888,-3.0692346,6.8447285,-0.1398231,0.014874600000000002,0.12880070000000002
36458,14:09:56.328000,-5.8799067,-2.9662883,6.8950043,-0.14104489999999997,-0.0901942,0.2131
36459,14:09:56.337000,-5.8942709,-3.0237467000000002,6.820787400000001,-0.14104489999999997,-0.0901942,0.2131
36460,14:09:56.347000,-5.7817483,-3.1889396,6.8375459,-0.2558874,-0.23680170000000003,0.30961669999999997
36461,14:09:56.357000,-5.784142500000001,-3.3373737,6.753752700000001,-0.2558874,-0.23680170000000003,0.30961669999999997
36462,14:09:56.367000,-5.8799067,-3.270339,6.713053200000001,-0.3010914,-0.3296531,0.38780729999999997
36463,14:09:56.379000,-5.7051377,-3.2152746,6.8183932,-0.37317340000000004,-0.5715555999999999,0.5759536999999999
36464,14:09:56.385000,-5.6668315,-3.1290869999999997,6.971615299999999,-0.37317340000000004,-0.5715555999999999,0.5759536999999999
